Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
62,Pete's Dragon,$143695338,$76233151,53.1%,$67462187,46.9%,2016.csv,2016
63,Sausage Party,$140705322,$97685686,69.4%,$43019636,30.6%,2016.csv,2016
64,Lion,$140312928,$51738905,36.9%,$88574023,63.1%,2016.csv,2016
65,Skiptrace,$136579287,-,-,$136579287,100%,2016.csv,2016
66,Mechanic: Resurrection,$125729635,$21218403,16.9%,$104511232,83.1%,2016.csv,2016
67,Deepwater Horizon,$121790373,$61433527,50.4%,$60356846,49.6%,2016.csv,2016
68,Allied,$119520023,$40098064,33.5%,$79421959,66.5%,2016.csv,2016
69,I Belonged to You,$119107580,$744541,0.6%,$118363039,99.4%,2016.csv,2016
70,The Shallows,$119100758,$55124043,46.3%,$63976715,53.7%,2016.csv,2016
71,The Purge: Election Year,$118587880,$79213375,66.8%,$39374505,33.2%,2016.csv,2016
72,Why Him?,$118102725,$60323786,51.1%,$57778939,48.9%,2016.csv,2016
73,Finding Mr Right 2,$114679097,-,-,$114679097,100%,2016.csv,2016
74,Office Christmas Party,$114501299,$54767494,47.8%,$59733805,52.2%,2016.csv,2016
75,How to Be Single,$112343513,$46843513,41.7%,$65500000,58.3%,2016.csv,2016
76,10 Cloverfield Lane,$110216998,$72082998,65.4%,$38134000,34.6%,2016.csv,2016
77,Neighbors 2: Sorority Rising,$108007109,$55455765,51.3%,$52551344,48.7%,2016.csv,2016
78,Cold War II,$103197501,$560824,0.5%,$102636677,99.5%,2016.csv,2016
79,Railroad Tigers,$102205175,$218044,0.2%,$101987131,99.8%,2016.csv,2016
80,Qing sheng,$95721320,$100026,0.1%,$95621294,99.9%,2016.csv,2016
81,Dirty Grandpa,$94073028,$35593113,37.8%,$58479915,62.2%,2016.csv,2016
82,Ben-Hur,$94061311,$26410477,28.1%,$67650834,71.9%,2016.csv,2016
83,Money Monster,$93282604,$41012075,44%,$52270529,56%,2016.csv,2016
84,Train to Busan,$92742323,$2129768,2.3%,$90612555,97.7%,2016.csv,2016
85,My Big Fat Greek Wedding 2,$90632641,$59689605,65.9%,$30943036,34.1%,2016.csv,2016
86,Collateral Beauty,$88528280,$31016021,35%,$57512259,65%,2016.csv,2016
87,Line Walker,$88228755,-,-,$88228755,100%,2016.csv,2016
88,Sultan,$87280000,$6200000,7.1%,$81080000,92.9%,2016.csv,2016
89,War Dogs,$86234523,$43034523,49.9%,$43200000,50.1%,2016.csv,2016
90,Big Fish & Begonia,$85409373,-,-,$85409373,100%,2016.csv,2016
91,Nerve,$85251425,$38583626,45.3%,$46667799,54.7%,2016.csv,2016
92,Leap!,$84197417,$2844490,3.4%,$81352927,96.6%,2016.csv,2016
93,Ouija: Origin of Evil,$81705746,$35144505,43%,$46561241,57%,2016.csv,2016
94,Underworld: Blood Wars,$81093313,$30353973,37.4%,$50739340,62.6%,2016.csv,2016
95,Manchester by the Sea,$78988148,$47695371,60.4%,$31292777,39.6%,2016.csv,2016
96,The Boss,$78844582,$63285885,80.3%,$15558697,19.7%,2016.csv,2016
97,Shin Godzilla,$77947607,$1918403,2.5%,$76029204,97.5%,2016.csv,2016
98,Mike and Dave Need Wedding Dates,$77068246,$46009673,59.7%,$31058573,40.3%,2016.csv,2016
99,Kubo and the Two Strings,$76249438,$48023088,63%,$28226350,37%,2016.csv,2016
100,Quo vado?,$75878701,-,-,$75878701,100%,2016.csv,2016
101,Boo! A Madea Halloween,$74827344,$73206343,97.8%,$1621001,2.2%,2016.csv,2016
102,Miracles from Heaven,$73983003,$61705123,83.4%,$12277880,16.6%,2016.csv,2016
103,I Am Not Madame Bovary,$70826207,$436798,0.6%,$70389409,99.4%,2016.csv,2016
104,Bai du ren,$70065569,-,-,$70065569,100%,2016.csv,2016
105,One Piece Film: Gold,$66207073,$423593,0.6%,$65783480,99.4%,2016.csv,2016
106,Moonlight,$65336603,$27854932,42.6%,$37481671,57.4%,2016.csv,2016
107,Monster Trucks,$64493915,$33370166,51.7%,$31123749,48.3%,2016.csv,2016
108,Fences,$64414761,$57682904,89.5%,$6731857,10.5%,2016.csv,2016
109,Hail Caesar!,$63647656,$30498085,47.9%,$33149571,52.1%,2016.csv,2016
110,The Nice Guys,$62788218,$36261763,57.8%,$26526455,42.2%,2016.csv,2016
111,Huo guo ying xiong,$58106427,$779818,1.3%,$57326609,98.7%,2016.csv,2016
112,L.O.R.D: Legend of Ravaging Dynasties,$58089494,$350456,0.6%,$57739038,99.4%,2016.csv,2016
113,Nine Lives,$57814445,$19700032,34.1%,$38114413,65.9%,2016.csv,2016
114,Zoolander 2,$56722693,$28848693,50.9%,$27874000,49.1%,2016.csv,2016
115,Barbershop: The Next Cut,$55030051,$54030051,98.2%,$1000000,1.8%,2016.csv,2016
116,The Age of Shadows,$54491162,$541719,1%,$53949443,99%,2016.csv,2016
117,A Chinese Odyssey: Part Three,$53306108,-,-,$53306108,100%,2016.csv,2016
