Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
210,Central Intelligence,216972543,127440871,89531672,2016.csv,2016,0.5873594383783389,0.412640561621661
211,Little Women,216601214,108101214,108500000,2019.csv,2019,0.4990794465260938,0.5009205534739062
212,A Little Red Flower,216000000,0,216000000,2020.csv,2020,0.0,1.0
213,Ted 2,215863606,81476385,134387221,2015.csv,2015,0.37744382441197616,0.6225561755880239
214,Creed II,214215889,115715889,98500000,2018.csv,2018,0.5401835015142131,0.45981649848578693
215,Smallfoot,214040103,83240103,130800000,2018.csv,2018,0.3888995652370808,0.6111004347629192
216,Bridget Jones's Baby,211952420,24252420,187700000,2016.csv,2016,0.11442388815376583,0.8855761118462342
217,Us and Them,209221380,0,209221380,2018.csv,2018,0.0,1.0
218,Tomorrowland,209035668,93436322,115599346,2015.csv,2015,0.44698745861878464,0.5530125413812154
219,Me Before You,208314186,56245075,152069111,2016.csv,2016,0.2700011750519957,0.7299988249480043
220,London Has Fallen,205754447,62524260,143230187,2016.csv,2016,0.30387804935268303,0.696121950647317
221,A Dog's Purpose,205035819,64508620,140527199,2017.csv,2017,0.3146212223533489,0.6853787776466511
222,Everest,203427584,43482270,159945314,2015.csv,2015,0.2137481512831613,0.7862518487168387
223,Arrival,203388186,100546139,102842047,2016.csv,2016,0.49435584719753584,0.5056441528024641
224,The Addams Family,203044905,100044905,103000000,2019.csv,2019,0.49272305059809307,0.5072769494019069
225,Birds of Prey,201858461,84158461,117700000,2020.csv,2020,0.41691817416561006,0.5830818258343899
226,Straight Outta Compton,201634991,161197785,40437206,2015.csv,2015,0.7994534291917617,0.20054657080823834
227,Shock Wave 2,198914468,0,198914468,2020.csv,2020,0.0,1.0
228,The Island,198326350,670883,197655467,2018.csv,2018,0.0033827224672868736,0.9966172775327131
229,Christopher Robin,197744377,99215042,98529335,2018.csv,2018,0.5017338217409844,0.4982661782590157
230,Smurfs: The Lost Village,197183546,45020282,152163264,2017.csv,2017,0.22831662637814618,0.7716833736218538
231,The Shape of Water,195333312,63859435,131473877,2017.csv,2017,0.3269254708587545,0.6730745291412455
232,The BFG,195243411,55483770,139759641,2016.csv,2016,0.28417742609506036,0.7158225739049396
233,Rocketman,195179299,96368160,98811139,2019.csv,2019,0.4937417056713581,0.5062582943286419
234,The Intern,194564672,75764672,118800000,2015.csv,2015,0.38940610965591943,0.6105938903440805
235,Downton Abbey,193820755,96854135,96966620,2019.csv,2019,0.49970982209825776,0.5002901779017422
236,The Monkey King 2,193678298,709982,192968316,2016.csv,2016,0.003665779838689,0.996334220161311
237,Weathering with You,193485685,7798743,185686942,2019.csv,2019,0.04030656324781857,0.9596934367521814
238,The Lego Movie 2: The Second Part,192306508,105806508,86500000,2019.csv,2019,0.5501972299346208,0.44980277006537916
239,Sheep Without a Shepherd,191602146,0,191602146,2019.csv,2019,0.0,1.0
240,The Equalizer 2,190400157,102084362,88315795,2018.csv,2018,0.5361569213411941,0.4638430786588059
241,The White Storm 2: Drug Lords,189396380,609461,188786919,2019.csv,2019,0.003217912612690908,0.9967820873873091
242,Project Gutenberg,188116796,0,188116796,2018.csv,2018,0.0,1.0
243,Jian Bing Man,186683536,0,186683536,2015.csv,2015,0.0,1.0
244,Pitch Perfect 3,185400345,104897530,80502815,2017.csv,2017,0.5657892923554161,0.4342107076445839
245,Bad Moms,183936074,113257297,70678777,2016.csv,2016,0.615742711785835,0.3842572882141651
246,Jupiter Ascending,183887723,47387723,136500000,2015.csv,2015,0.25769922117095334,0.7423007788290467
247,Storks,183388953,72679278,110709675,2016.csv,2016,0.3963121922616571,0.6036878077383429
248,From Vegas to Macau III,181732879,0,181732879,2016.csv,2016,0.0,1.0
249,Daddy's Home 2,180613180,104029443,76583737,2017.csv,2017,0.5759792447040687,0.42402075529593136
250,Hacksaw Ridge,180563636,67209615,113354021,2016.csv,2016,0.37222120959061766,0.6277787904093823
251,The Post,179769457,81903458,97865999,2017.csv,2017,0.4556027445752367,0.5443972554247632
252,Allegiant,179246868,66184051,113062817,2016.csv,2016,0.36923407219589466,0.6307659278041053
253,Abominable,179053956,60716390,118337566,2019.csv,2019,0.33909549588505045,0.6609045041149496
254,Baywatch,177856751,58060186,119796565,2017.csv,2017,0.32644353207599075,0.6735564679240093
255,The Hitman's Bodyguard,176586701,75468583,101118118,2017.csv,2017,0.4273741033306919,0.5726258966693081
256,Ip Man 4: The Finale,176345966,3956031,172389935,2019.csv,2019,0.02243335126815433,0.9775666487318456
257,The Mule,174804407,103804407,71000000,2018.csv,2018,0.5938317504775494,0.40616824952245056
258,The Croods: A New Age,174489000,58569000,115920000,2020.csv,2020,0.33566012757251174,0.6643398724274883
259,The Nutcracker and the Four Realms,173961069,54858851,119102218,2018.csv,2018,0.3153513100106323,0.6846486899893677
260,Operation Mekong,173839072,800012,173039060,2016.csv,2016,0.004602026407504062,0.9953979735924959
261,Creed,173567581,109767581,63800000,2015.csv,2015,0.6324198353608442,0.3675801646391557
262,Gemini Man,173469516,48546770,124922746,2019.csv,2019,0.27985764369112553,0.7201423563088745
263,The Girl on the Train,173185859,75395035,97790824,2016.csv,2016,0.435341750390833,0.564658249609167
264,Spies in Disguise,171616764,66757013,104859751,2019.csv,2019,0.3889888810629246,0.6110111189370754
265,John Wick: Chapter 2,171539887,92029184,79510703,2017.csv,2017,0.5364885427492441,0.46351145725075593
266,Ghost in the Shell,169801921,40563557,129238364,2017.csv,2017,0.23888750351652382,0.7611124964834762
267,Insidious: The Last Key,167885588,67745330,100140258,2018.csv,2018,0.40352081919026905,0.596479180809731
268,Fantastic Four,167882881,56117548,111765333,2015.csv,2015,0.3342660530110869,0.6657339469889131
269,Wonder Woman 1984,166534027,46534027,120000000,2020.csv,2020,0.2794265402589466,0.7205734597410534
270,Bridge of Spies,165478348,72313754,93164594,2015.csv,2015,0.4369982833041094,0.5630017166958906
271,The Huntsman: Winter's War,164989338,48390190,116599148,2016.csv,2016,0.2932928308373478,0.7067071691626522
272,From Vegas to Macau II,163877532,0,163877532,2015.csv,2015,0.0,1.0
273,The Magnificent Seven,162360636,93432655,68927981,2016.csv,2016,0.5754637164638847,0.4245362835361152
274,Jack Reacher: Never Go Back,162146076,58697076,103449000,2016.csv,2016,0.36200121179620776,0.6379987882037922
275,The Sacrifice,161047608,0,161047608,2020.csv,2020,0.0,1.0
